D_ARRE_TITR;ORIGINATOR_NAME;SERVICER_NAME;LOAN_ID;BORROWER_ID;BORROWER_GROUP_ID;BORROWER_INTERN_TYPE;BORROWER_EC_TYPE;BORROWER_BASE3_SEGM;ORIGINATOR_AFFILIATE;STARTUP_COMPANY;C_NACE_EUROP;C_SECTEUR_ACT_MOODYS;COUNTRY;REGION;TOTAL_DEBTOR_EXPOSURE;BORROWER_DEPOSIT_AMOUNT;ORIGINAL_BALANCE;CURRENT_BALANCE;CURRENCY;ORIGINATION_DATE;MATURITY_DATE;WEIGTHED_AVERAGE_LIFE;LOAN_PURPOSE;ORIGINATION_CHANNEL;FULLY_WITHDRAWN;REFINANCING;DIRECT_DEBIT;NUMBER_DAYS_IN_ARREARS;AMOUNT_IN_ARREARS;INTEREST_RATE;INT_RATE_TYPE;INT_RATE_TYPE_SWITCH_DATE;MARGIN;MINIMUM_MARGIN;INT_REF_RATE;INT_RESET_FREQ;NEXT_RESET_DATE;INT_CAP;INT_FLOOR;PRINC_PMT_FREQ;BALLOON_AMOUNT;INT_PMT_FREQ;NEXT_INT_PMT_DATE;MIN_INT_PMT_FREQ;AMORTISATION_SYSTEM;PRINC_GRACE_PERIOD_END_DATE;INT_GRACE_PERIOD_END_DATE;INTERNAL_BUSINESS_SECTOR;BORROWER_ESTIMATED_PD;BORROWER_INTERNAL_RATING;LOAN_LGD_DownTurn;LOAN_LGD_Normal;BORROWER_EXTERNAL_RATING;ONE_YR_EDF;FIVE_YR_EDF;ONE_YR_IMPLIED_RATING;FIVE_YR_IMPLIED_RATING;FSO_OR_CYCLE_ADJUSTED;FINANCIAL_STATEMENT_YEAR;LOAN_OF_RECEIVABLE_ID;MERGED_DRAWDOWNS_ID;INIT_LOAN_ADVANCE_DATE;LOAN_CURRENT_BALANCE;LOAN_GLOBAL_AMOUNT_IN_ARREARS;RISK_BEARER_OPERATING_COMPANY;RISK_BEARER_ID;RISK_BEARER_TYPE;RISK_BEARER_ORIG_AFFILIATE;RISK_BEARER_STARTUP;RISK_BEARER_NACE_CODE;RISK_BEARER_MOODYS_SECTOR;RISK_BEARER_COUNTRY;RISK_BEARER_REGION;RISK_BEARER_ESTIMATED_PD;RISK_BEARER_INTERNAL_RATING;POOL_IDENTIFIER;PFCPRO;BORROWER_NACE_CODE
xx;Bpifrance Financement;Bpifrance Financement;DOS007015800/3;66413;4067359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bourgogne;No Data;0;270000;ND5;EUR;03/08/2018;31/07/2026;1,89;Renovation work;Office network;Yes;No;Yes;0;0;1,18;Fix;;;;;;;;;Quarterly;;Quarterly;30/04/2023;;French;;;No Data;3,07;C;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS007015800;;03/08/2018;137783,26;0;No;66413;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bourgogne;3,07;C;1;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001464800/13;4013502;3967183;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;68.20;107;FRANCE;Rhône-Alpes;No Data;0;833000;493641,05;EUR;01/08/2016;31/05/2030;3,78;Real estate investment;Office network;Yes;No;Yes;0;0;1,56;Fix;;;;;;;;;Monthly;;Monthly;28/02/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001464800;;19/05/2015;493641,05;0;No;75208;Small & Medium Entreprise;No;No;56.10;120;FRANCE;Rhône-Alpes;1,84;B;1;10;68.20
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS000895000/13;89187;4339047;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.10;120;FRANCE;Île de France;No Data;0;465408,94;166005,93;EUR;01/08/2015;31/01/2026;1,64;Renovation work;Office network;Yes;No;Yes;0;0;2,32;Fix;;;;;;;;;Quarterly;;Quarterly;30/04/2023;;French;;;No Data;3,07;C;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS000895000;;21/07/2014;166005,93;0;No;89187;Small & Medium Entreprise;No;No;55.10;120;FRANCE;Île de France;3,07;C;1;10;55.10
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS003047000/5;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;70200;23977,45;EUR;13/04/2016;30/04/2026;1,76;Real estate investment;Office network;Yes;No;Yes;0;0;1,5;Fix;;;;;;;;;Quarterly;;Quarterly;30/04/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS003047000;;07/04/2016;341558,98;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;1;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001843800/3;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;200000;7344,53;EUR;29/03/2016;31/03/2023;0,16;Renovation work;Office network;Yes;No;Yes;0;0;0,83;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001843800;;29/03/2016;22507,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;25;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001842100/5;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;140000;48403,47;EUR;29/04/2016;31/03/2026;1,68;Renovation work;Office network;Yes;No;Yes;0;0;1,14;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001842100;;29/03/2016;137147,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;1;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001843800/8;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;50000;1896,08;EUR;29/06/2016;31/03/2023;0,16;Renovation work;Office network;Yes;No;Yes;0;0;0,73;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001843800;;29/03/2016;22507,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;25;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS003047000/3;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;929800;317581,53;EUR;07/04/2016;30/04/2026;1,76;Real estate investment;Office network;Yes;No;Yes;0;0;1,5;Fix;;;;;;;;;Quarterly;;Quarterly;30/04/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS003047000;;07/04/2016;341558,98;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;1;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001842100/3;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;150000;50784,57;EUR;29/03/2016;31/03/2026;1,68;Renovation work;Office network;Yes;No;Yes;0;0;1,23;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001842100;;29/03/2016;137147,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;1;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001842100/6;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;110000;37959,28;EUR;20/05/2016;31/03/2026;1,68;Renovation work;Office network;Yes;No;Yes;0;0;1,08;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001842100;;29/03/2016;137147,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;1;10;47.11
